safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_b73002098d520146_140,0.022472,0.054,0.034,0.912,0.1531,0.0,0.011236,0.168539,third,3.1486,0.973,0.0,0
inst_9da50420bb2ebc21_141,0.053571,0.047,0.09,0.862,-0.2732,0.0,0.0,0.035714,third,3.0114,1.0,0.0,0
inst_9c4417ba2ed94bf3_142,0.051724,0.106,0.036,0.857,0.5893,0.0,0.0,0.0,none,2.914,0.8333,0.034483,2
inst_8d02c2d58bd3f256_143,0.065934,0.0,0.146,0.854,-0.9062,0.0,0.0,0.021978,third,3.365,1.0,0.010989,1
inst_38d4c44367559a26_144,0.049505,0.032,0.026,0.942,0.3612,0.0,0.0,0.039604,third,3.615,0.96,0.029703,3
inst_38522f222cae04bc_145,0.066667,0.072,0.051,0.877,0.2081,0.066667,0.033333,0.05,first,3.11,1.0,0.0,0
inst_0538402e3fcaf3c4_146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.013333,third,3.484,0.8621,0.026667,2
inst_0a35399108cfcbf4_147,0.014286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,none,3.2242,0.96,0.071429,5
inst_832c2d5eb829ed5b_148,0.129032,0.061,0.145,0.794,-0.6187,0.080645,0.0,0.080645,first,3.2385,1.0,0.0,0
inst_57209f61c01cac55_149,0.0,0.214,0.121,0.664,0.2023,0.027027,0.0,0.027027,first,3.2419,0.8889,0.0,0
inst_4e91e550fcf0cd71_150,0.018868,0.0,0.051,0.949,-0.296,0.0,0.0,0.037736,third,3.74,1.0,0.0,0
inst_7a79a72a390f12a4_151,0.067797,0.09,0.0,0.91,0.577,0.0,0.0,0.067797,third,3.688,0.9524,0.0,0
inst_f771cb0b1a20f8fe_152,0.061538,0.169,0.0,0.831,0.8671,0.061538,0.0,0.061538,first,2.9084,1.0,0.015385,1
